CustomerID,State,Area Code,Address,Phone,Age,Genre,Education,Annual Income (k$),Expenses,Spending Score (1-100),Club Member
1,KS,415,2.0,382-4657,19,Male,Med,15,-,39,no
2,OH,415,17.0,371-7191,21,Male,Posg,15,-,81,no
3,NJ,415,12.0,358-1921,20,Female,Bas,16,-,6,no
4,OH,408,3.0,375-9999,23,Female,Bas,16,299.4,77,yes
5,OK,415,2.0,330-6626,31,Female,Bas,17,166.7,40,yes
6,AL,510,9.0,391-8027,22,Female,Bas,17,223.4,76,yes
7,MA,510,4.0,355-9993,35,Female,SupInc,18,-,6,no
8,MO,415,2.0,329-9001,23,Female,Bas,18,157.0,94,yes
9,LA,408,14.0,335-4719,64,Male,SupCom,19,-,3,no
10,WV,415,0.0,330-8173,30,Female,SupInc,19,258.6,72,yes
11,IN,415,13.0,329-6603,67,Male,Bas,19,-,14,no
12,RI,415,3.0,344-9403,35,Female,SupCom,19,-,99,no
13,IA,408,7.0,363-1107,58,Female,Posg,20,-,15,no
14,MT,510,0.0,394-8006,24,Female,Med,20,-,77,no
15,IA,415,13.0,366-9238,37,Male,Bas,20,-,13,no
16,NY,415,0.0,351-7269,22,Male,Med,20,-,79,no
17,ID,408,0.0,350-8884,35,Female,Med,21,-,35,no
18,VT,510,,386-2923,20,Male,Bas,21,-,66,no
19,VA,510,0.0,356-2992,52,Male,Med,23,-,29,no
20,TX,415,21.0,373-2782,35,Female,Med,23,-,98,no
21,FL,415,1.0,396-5800,35,Male,Med,24,-,35,no
22,CO,408,3.0,393-7984,25,Male,Bas,24,-,73,no
23,AZ,415,10.0,358-1958,46,Female,SupInc,25,-,5,no
24,SC,415,11.0,350-2565,31,Male,SupCom,25,-,73,no
25,VA,510,11.0,343-4696,54,Female,Med,28,-,14,no
26,NE,415,2.0,331-3698,29,Male,SupCom,28,-,82,no
27,WY,408,4.0,357-3817,45,Female,Posg,28,-,32,no
28,MT,408,10.0,418-6412,35,Male,SupInc,28,-,61,no
29,MO,415,14.0,353-2630,40,Female,Med,29,-,31,no
30,HI,510,2.0,410-7789,23,Female,SupCom,29,-,87,no
31,IL,415,0.0,416-8428,60,Male,Med,30,-,4,no
32,NH,510,0.0,370-3359,21,Female,Med,30,-,73,no
33,LA,408,12.0,383-1121,53,Male,Bas,33,-,4,no
34,AZ,408,12.0,360-1596,18,Male,Med,33,-,92,no
35,OK,408,3.0,395-2854,49,Female,SupCom,33,-,14,no
36,GA,415,2.0,362-1407,21,Female,SupCom,33,-,81,no
37,AK,408,11.0,341-9764,42,Female,Posg,34,-,17,no
38,MA,415,9.0,353-3305,30,Female,SupCom,34,-,73,no
39,AK,415,6.0,402-1381,36,Female,Med,37,203.9,26,yes
40,NJ,408,0.0,332-9891,20,Female,SupInc,37,-,75,no
41,GA,408,16.0,372-9976,65,Female,SupInc,38,-,35,no
42,MD,408,4.0,383-6029,24,Male,Med,38,173.1,92,yes
43,AR,510,0.0,353-7289,48,Male,SupInc,39,-,36,no
44,ID,415,18.0,390-7274,31,Female,SupCom,39,-,61,no
45,WI,510,19.0,352-1237,49,Female,Med,39,-,28,no
46,OR,408,7.0,353-3061,24,Female,SupInc,39,-,65,no
47,MI,415,2.0,363-5450,50,Female,Bas,40,-,55,no
48,DE,408,0.0,364-1995,27,Female,SupCom,40,-,47,no
49,ID,415,3.0,398-1294,29,Female,Med,40,-,42,no
50,WY,415,10.0,405-7146,31,Female,SupInc,40,-,42,no
51,IA,408,1.0,413-4957,49,Female,SupInc,42,-,52,no
52,IN,408,1.0,420-5645,33,Male,SupCom,42,-,60,no
53,VA,408,8.0,349-4396,31,Female,SupInc,43,-,54,no
54,UT,415,11.0,404-3211,59,Male,Med,43,-,60,no
55,WY,415,18.0,353-3759,50,Female,Bas,43,-,45,no
56,IN,408,3.0,363-5947,47,Male,Bas,43,-,41,no
57,CO,415,16.0,340-5121,51,Female,SupCom,44,-,50,no
58,CO,408,5.0,370-7574,69,Male,SupInc,44,-,46,no
59,WI,415,6.0,403-9733,27,Female,Bas,46,-,51,no
60,OK,408,3.0,355-7251,53,Male,SupInc,46,-,46,no
61,ID,408,1.0,359-5893,70,Male,SupInc,46,-,56,no
62,CA,415,0.0,405-3371,19,Male,Med,46,-,55,no
63,MN,510,12.0,344-5117,67,Female,Posg,47,-,52,no
64,SD,408,9.0,332-8160,54,Female,Med,47,-,59,no
65,NC,408,0.0,359-4081,63,Male,Med,48,-,51,no
